questions,answers
Qu’est-ce que la nouvelle grippe A(H1N1) ?,"Il s’agit d’une grippe causée par un nouveau virus A(H1N1) qui n’avait jamais circulé
auparavant chez l’homme. Ce virus n’est lié à aucun virus ancien ou actuel de la grippe
saisonnière."
Comment les gens contractent-ils le virus ?,"Le virus se transmet d’homme à homme aussi facilement que celui de la grippe saisonnière normale, lorsque des personnes infectées toussent ou éternuent et que les gouttelettes infectées sont inhalées ou contaminent les mains ou des surfaces.
Pour prévenir la propagation de la maladie, les personnes malades doivent se couvrir le nez et la bouche lorsqu’elles toussent ou éternuent, rester chez elles si elles ne se sentent pas bien, se laver les mains régulièrement et se tenir autant que possible à l’écart des personnes bien portantes.
On n’a connaissance d’aucun cas d’infection humaine consécutive à une exposition à des porcs ou à d’autres animaux."
Quels sont les signes ou les symptômes d’infection ?,"Les premiers signes de la grippe A(H1N1) sont de type grippal: fièvre, toux, maux de tête, douleurs musculaires et articulaires, maux de gorge et écoulements nasals, parfois accompagnés de vomissements ou de diarrhée."
"Pourquoi est-on si préoccupé par l’éventualité de cette pandémie, alors que des centaines de milliers de personnes meurent chaque année des épidémies saisonnières ?","Les épidémies saisonnières de grippe se produisent chaque année et le virus change tous les ans, mais beaucoup de gens possèdent une certaine immunité contre le virus circulant, ce qui permet de limiter les infections. Pour éviter que les gens ne tombent malades et ne décèdent, certains pays utilisent également les vaccins contre la grippe saisonnière. Mais le virus grippal A(H1N1) est nouveau, la plupart des gens ne sont pas ou sont peu immunisés contre celui-ci et il pourrait donc provoquer davantage d’infections que la grippe saisonnière. Un vaccin sûr et efficace est actuellement mise au point par plusieurs laboratoires pharmaceutiques, il serait disponible à partir des mois de novembre décembre. La nouvelle grippe A(H1N1) semble aussi contagieuse que la grippe saisonnière et le virus se propage rapidement, notamment chez les jeunes (de 10 à 45 ans). Les manifestations de la maladie peuvent aller de symptômes très bénins jusqu’à des affections graves pouvant entraîner la mort. La majorité des personnes qui contractent le virus sont atteintes de la forme bénigne de la maladie et guérissent sans traitement antiviral ni soins médicaux. Parmi les cas plus graves, plus de la moitié des personnes hospitalisées souffraient de pathologies sous-jacentes ou avaient un système immunitaire affaibli. La plupart des gens sont atteints d’une forme bénigne de la maladie et guérissent chez eux."
Quand faut-il consulter un médecin ?,"Il faut consulter un médecin en cas de difficultés respiratoires ou si la fièvre persiste plus de trois jours. Les parents doivent consulter un médecin si leur enfant respire rapidement ou difficilement, s’il a de fièvre de façon constante ou s’il a des convulsions. Dans la plupart des cas, il suffit que le malade reste chez lui, se repose, boive beaucoup de liquide et prenne un antalgique pour soulager les douleurs (chez l’enfant et le jeune adulte, il faut utiliser un antalgique sans aspirine en raison du risque de syndrome de Reye.)"
Que puis-je faire pour éviter de contracter la grippe A(H1N1)?,"La principale voie de transmission du nouveau virus grippal A(H1N1) semble être la même que celle de la grippe saisonnière, à savoir via des gouttelettes respiratoires émises lorsqu’on parle, qu’on éternue ou qu’on tousse. On peut se prémunir contre l’infection en évitant un contact rapproché avec des personnes présentant des symptômes de type grippal (en essayant dans la mesure du possible de maintenir une distance d’environ 1 mètre) et en prenant les mesures qui suivent :

Éviter de se toucher le nez et la bouche;
Se laver soigneusement les mains à l’eau et au savon ou avec une solution hydroalcoolique, et ce régulièrement (surtout si l’on se touche le nez ou la bouche ou si l’on touche des surfaces potentiellement contaminées);
Eviter un contact rapproché avec des personnes qui pourraient être malades;
Réduire, dans la mesure du possible, le temps passé dans des endroits bondés;
Bien aérer l’endroit où l’on vit en ouvrant les fenêtres;
Avoir une bonne hygiène de vie, à savoir dormir suffisamment, s’alimenter correctement et conserver une activité physique."
Qu’en est-il du port du masque? Que recommande l’OMS?,"Si vous n’êtes pas malade, il n’est pas nécessaire de porter un masque.
Si vous vous occupez d’une personne malade, vous pouvez porter un masque lorsque vous êtes auprès d’elle, le jeter immédiatement après et vous nettoyer soigneusement les mains ensuite.
Si vous êtes malade et que vous devez partir en voyage ou être au milieu d’autres gens, portez un masque couvrant le nez et la bouche.
Il est indispensable en toute situation d’utiliser correctement les masques. Leur mésusage peut en réalité augmenter les risques de propagation de l’infection."
Comment savoir si j’ai la grippe A(H1N1)?,"Il est impossible de faire la différence entre la grippe saisonnière et la grippe A(H1N1) sans aide médicale. Les symptômes typiques à rechercher sont les mêmes que pour les virus saisonniers : fièvre, toux, céphalées, douleurs musculaires et articulaires, maux de gorge et écoulement nasal. Seuls votre médecin et les autorités de santé locales peuvent confirmer un cas de grippe A(H1N1)."
Est-ce qu’une personne physique soumise à l’impôt sur le revenu selon le régime forfaitaire dans la catégorie des « bénéfices industriels et commerciaux » est soumise à la TFP?,Les personnes physiques soumises à l'impôt sur le revenu selon le régime forfaitaire d'imposition ne sont pas soumises à la TFP.
Est-ce que les rémunérations du gérant d’une société unipersonnelle à responsabilité limitée sont déductibles ?,"Les rémunérations du gérant d'une SUARL sont déductibles pour la détermination de l'assiette soumise à l'IS. La déduction se limite aux montants et à la valeur des avantages accordés au gérant en contrepartie de son activité au sein de la société en sa dite qualité, à condition qu'ils ne soient pas exagérés."
